R2,66.04,11.43,90.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH,95.25,59.69,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,160.02,2.54,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,152.40,46.99,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,152.40,48.26,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,128.27,45.72,90.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,68.58,27.94,90.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,71.12,27.94,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,34.29,33.02,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,30.48,33.02,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,26.67,33.02,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,22.86,33.02,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,38.10,33.02,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,49.02,107.57,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,68.58,106.68,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,95.25,49.53,90.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,20.32,106.68,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,133.35,39.37,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,53.34,106.68,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,158.76,11.43,90.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,62.23,10.16,0.00,,SJ
TP1,68.58,96.52,0.00,TPTP20R,TP20R
TP10,135.66,6.75,0.00,TPTP20R,TP20R
TP11,128.48,6.95,0.00,TPTP20R,TP20R
TP12,122.80,7.35,0.00,TPTP20R,TP20R
TP13,40.64,7.62,0.00,TPTP20R,TP20R
TP14,35.56,7.62,0.00,TPTP20R,TP20R
TP15,30.48,7.62,0.00,TPTP20R,TP20R
TP16,39.37,12.70,0.00,TPTP20R,TP20R
TP17,33.02,12.70,0.00,TPTP20R,TP20R
TP2,73.66,96.52,0.00,TPTP20R,TP20R
TP3,78.74,96.52,0.00,TPTP20R,TP20R
TP4,68.58,90.17,0.00,TPTP20R,TP20R
TP5,73.66,90.17,0.00,TPTP20R,TP20R
TP6,78.74,90.17,0.00,TPTP20R,TP20R
TP7,133.35,62.23,0.00,TPTP20R,TP20R
TP8,138.43,62.23,0.00,TPTP20R,TP20R
TP9,142.98,61.83,0.00,TPTP20R,TP20R
U1,38.10,53.34,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,15.97,52.44,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,87.63,54.61,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,137.16,54.61,0.00,MAX17048G+T10,SON50P200X200X80-9N
